source_id,source_name,iso3_country,lat,lon,capacity,capacity_units,capacity_factor
1052264,Bonner County,USA,48.30015916593638,-116.6022439728664,279706.885,m^2,42.12299795909564
1052265,Bonneville County,USA,43.38877941632336,-111.6148780601654,2006671.17,m^2,45.17786522542206
1051820,Boone County,USA,36.30822048434669,-93.09268164505087,620333.189,m^2,52.549711011834965
1052303,Boone County,USA,42.326129849043554,-88.82273736500352,1397879.429,m^2,49.70478175482186
1052408,Boone County,USA,40.0515636515003,-86.46798170225097,1710801.509,m^2,50.100434064440606
1052503,Boone County,USA,42.03552981415856,-93.9331159082282,449673.421,m^2,49.67633860441131
1052707,Boone County,USA,38.96913995822297,-84.72683407772493,6057788.335,m^2,51.42657687576666
1053203,Boone County,USA,38.99151321215139,-92.31077914961584,2949477.048,m^2,50.61795017772249
1053368,Boone County,USA,41.70719802167928,-98.06637395724862,63475.086,m^2,47.103962332559895
1054704,Boone County,USA,38.024429622712105,-81.7126842772668,17715.884,m^2,51.53386175931159
1054250,Borden County,USA,32.74347076443451,-101.43302069836702,3327.18,m^2,55.91337559134162
1054251,Bosque County,USA,31.90097290855581,-97.63341491551388,42139.335,m^2,57.59835130288601
1052827,Bossier Parish,USA,32.67940747746402,-93.60602483737848,1667014.048,m^2,56.79780549635777
34157257,Boston Urban Area,USA,,,25872056.358,m^2,48.65707174372877
1054543,Botetourt County,USA,37.55900406361667,-79.81284753130842,359869.535,m^2,51.05753746284748
1053704,Bottineau County,USA,48.79204141120736,-100.83413418398892,92719.444,m^2,43.13024413735699
1051955,Boulder County,USA,40.09190004715689,-105.35738625453254,5574448.988,m^2,44.06538757441043
1052266,Boundary County,USA,48.76744163310523,-116.4634478737806,55669.932,m^2,42.07337468994932
1052600,Bourbon County,USA,37.854782672556794,-94.84872145279417,138440.824,m^2,51.95817901228326
1052708,Bourbon County,USA,38.20688294776536,-84.21712996072624,179793.401,m^2,51.73021840217595
1054252,Bowie County,USA,33.446451520965574,-94.42428349991226,1290455.11,m^2,56.23076558548402
1053705,Bowman County,USA,46.11189269192346,-103.52033932353562,41086.353,m^2,42.71026360017887
1053369,Box Butte County,USA,42.220209476719354,-103.08584411577102,378959.304,m^2,44.08904717378307
1054488,Box Elder County,USA,41.5216060644563,-113.08096485244693,909447.961,m^2,46.90696835813786
1052709,Boyd County,USA,38.359090582680786,-82.68687773371481,1208022.462,m^2,52.09678007543538
1053370,Boyd County,USA,42.89973274902387,-98.7676381933035,6298.099,m^2,46.2705527493296
1052710,Boyle County,USA,37.624370747444935,-84.86661413604742,619578.853,m^2,52.17110489566693
1052711,Bracken County,USA,38.68898867569012,-84.0904118143167,17363.217,m^2,51.58908703381407
34157138,Bradenton Urban Area,USA,,,10029555.847,m^2,41.24254898752348
1052028,Bradford County,USA,29.950265791316436,-82.16780100801051,146718.943,m^2,51.080466092234595
1053962,Bradford County,USA,41.78952816319066,-76.51697931898875,402930.106,m^2,47.92361083587038
1051821,Bradley County,USA,33.46598450543286,-92.162074796477,215050.417,m^2,54.66521040505585
1054144,Bradley County,USA,35.15442618700706,-84.85981108150138,2014427.338,m^2,54.22467667136078
1052948,Branch County,USA,41.91684116801234,-85.0602675676564,617648.256,m^2,47.91095166955349
1052104,Brantley County,USA,31.196782270412964,-81.98181978111495,42287.616,m^2,53.42370787702953
1054705,Braxton County,USA,38.69964598331731,-80.71993568562281,30737.623,m^2,51.47427235996746
1054253,Brazoria County,USA,29.12383243671544,-95.4010235996231,7358787.549,m^2,49.65520539027591
1054254,Brazos County,USA,30.660840759681843,-96.30473672279392,3714631.28,m^2,54.67099791395716
1052712,Breathitt County,USA,37.52169373966836,-83.32392491068546,29597.371,m^2,52.14608942801035
1052713,Breckinridge County,USA,37.77325419513117,-86.42913200313689,38921.753,m^2,52.762860295629544
1052504,Bremer County,USA,42.773538598493595,-92.31863726629072,232059.55,m^2,48.84913111311299
1052029,Brevard County,USA,28.32922690856978,-80.63252217861995,6969993.829,m^2,40.5365923481078
1054255,Brewster County,USA,29.811189493633226,-103.25165306530305,24131.563,m^2,60.52729502021896
34157247,Bridgeport Urban Area,USA,,,11021077.796,m^2,49.43288816114986
